run_id,row_id,model,start_time,base_commit,end_time,duration_s,status,cost_usd,patch_path,bundle_path,ended_by,edits,turns
01dc100b,fold-order-dependence-convention-research,deepseek/deepseek-v4-flash-0731,2026-09-12T14:44:13.329151+00:00,,2026-09-12T14:55:47.281155+00:00,694.0,STUCK,0.029326,/home/kantord/.cache/toylang-simple-dispatch/results/fold-order-dependence-convention-research-01dc100b.patch,,dedup,1,37
63fdadcd,draft-mutation-migration,deepseek/deepseek-v4-flash-0731,2026-09-12T15:08:06.804905+00:00,,2026-09-12T15:18:45.952580+00:00,639.1,STUCK,0.037209,/home/kantord/.cache/toylang-simple-dispatch/results/draft-mutation-migration-63fdadcd.patch,,dedup,1,52
6fe19fa1,module-routing-syntax-build-ast,deepseek/deepseek-v4-flash-0731,2026-09-12T15:19:42.479454+00:00,,2026-09-12T15:24:54.934354+00:00,312.5,GREEN,0.019608,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-syntax-build-ast-6fe19fa1.patch,,model_done,1,30
3ea51482,fold-order-dependence-convention-research,deepseek/deepseek-v4-flash-0731,2026-09-12T15:19:42.479278+00:00,,2026-09-12T15:25:56.538925+00:00,374.1,GREEN,0.015993,/home/kantord/.cache/toylang-simple-dispatch/results/fold-order-dependence-convention-research-3ea51482.patch,,model_done,1,26
b0708ff3,dense-tensor-type-build,deepseek/deepseek-v4-flash-0731,2026-09-12T15:56:03.205884+00:00,,2026-09-12T15:57:22.284508+00:00,79.1,STUCK,0.016042,,,dedup,0,22
3fd6111a,select-lazy-materialization-build,deepseek/deepseek-v4-flash-0731,2026-09-12T15:56:03.205820+00:00,,2026-09-12T15:57:41.881765+00:00,98.7,STUCK,0.010616,,,dedup,0,22
c4f66535,draft-mutation-migration,deepseek/deepseek-v4-flash-0731,2026-09-12T15:56:03.205196+00:00,,2026-09-12T16:01:09.784728+00:00,306.6,GREEN,0.002577,/home/kantord/.cache/toylang-simple-dispatch/results/draft-mutation-migration-c4f66535.patch,,model_done,1,13
446367dd,fold-order-dependence-convention-research,deepseek/deepseek-v4-flash-0731,2026-09-12T16:25:13.166055+00:00,,2026-09-12T16:27:23.258044+00:00,130.1,STUCK,0.013413,,,dedup,0,22
21211183,draft-mutation-migration,deepseek/deepseek-v4-flash-0731,2026-09-12T16:25:43.894103+00:00,,2026-09-12T16:28:24.907633+00:00,161.0,STUCK,0.008998,,,dedup,0,22
575f2fa1,module-routing-syntax-build-ast,deepseek/deepseek-v4-flash-0731,2026-09-12T16:25:42.840338+00:00,,2026-09-12T16:30:20.002088+00:00,277.2,STUCK,0.009713,,,dedup,0,22
c3fa89a2,module-routing-syntax-build-parse,deepseek/deepseek-v4-flash-0731,2026-09-12T16:58:49.236739+00:00,,2026-09-12T17:00:29.517920+00:00,100.3,STUCK,0.013391,,,dedup,0,22
80461db8,coordinator-memory-pool-build,deepseek/deepseek-v4-flash-0731,2026-09-12T16:58:49.238263+00:00,,2026-09-12T17:01:13.562982+00:00,144.3,STUCK,0.018154,,,dedup,0,22
0c18bd4d,module-routing-syntax-build-parse,deepseek/deepseek-v4-flash-0731,2026-09-12T17:10:05.319333+00:00,,2026-09-12T17:11:34.752236+00:00,89.4,STUCK,0.011676,,,dedup,0,22
6f3023bc,coordinator-memory-pool-build,deepseek/deepseek-v4-flash-0731,2026-09-12T17:10:05.319490+00:00,,2026-09-12T17:12:34.667244+00:00,149.3,STUCK,0.011642,,,dedup,0,17
6c720903,select-lazy-materialization-build-go,deepseek/deepseek-v4-flash-0731,2026-09-13T11:57:10.131844+00:00,,2026-09-13T11:58:55.796038+00:00,105.7,STUCK,0.015839,,,dedup,0,22
5cd6ccfc,sort-by-max-by-rust-wiring,deepseek/deepseek-v4-flash-0731,2026-09-13T11:57:10.131615+00:00,,2026-09-13T12:02:38.066226+00:00,327.9,STUCK,0.020347,/home/kantord/.cache/toylang-simple-dispatch/results/sort-by-max-by-rust-wiring-5cd6ccfc.patch,,dedup,1,39
01077efe,module-routing-syntax-build-parse,deepseek/deepseek-v4-flash-0731,2026-09-13T11:57:10.131665+00:00,,2026-09-13T12:06:57.651777+00:00,587.5,STUCK,0.021467,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-syntax-build-parse-01077efe.patch,,dedup,1,39
0adf79ff,select-lazy-materialization-build-py,deepseek/deepseek-v4-flash-0731,2026-09-13T12:26:11.039012+00:00,,2026-09-13T12:27:44.880081+00:00,93.8,STUCK,0.009990,,,dedup,0,16
f2628c7e,select-lazy-materialization-build-lua,deepseek/deepseek-v4-flash-0731,2026-09-13T12:26:11.038756+00:00,,2026-09-13T12:28:37.116815+00:00,146.1,STUCK,0.016657,,,dedup,0,22
063c8fc1,select-lazy-materialization-build-js,deepseek/deepseek-v4-flash-0731,2026-09-13T12:26:11.038469+00:00,,2026-09-13T12:28:53.051839+00:00,162.0,STUCK,0.019502,,,dedup,0,21
7366d59a,select-lazy-materialization-build-llvm,deepseek/deepseek-v4-flash-0731,2026-09-13T15:55:36.765587+00:00,,2026-09-13T15:57:21.193956+00:00,104.4,STUCK,0.012985,,,dedup,0,22
80b3d6d9,select-lazy-materialization-build-jq,deepseek/deepseek-v4-flash-0731,2026-09-13T15:55:36.765523+00:00,,2026-09-13T15:59:09.203371+00:00,212.4,STUCK,0.015507,,,dedup,0,21
1f1780aa,select-lazy-materialization-build-rust,deepseek/deepseek-v4-flash-0731,2026-09-13T15:55:36.764353+00:00,,2026-09-13T15:59:38.518039+00:00,241.8,STUCK,0.019815,,,dedup,0,22
3076ba34,tensor-transpose-build,deepseek/deepseek-v4-flash-0731,2026-09-13T16:20:52.476594+00:00,,2026-09-13T16:22:13.693815+00:00,81.2,STUCK,0.013504,,,dedup,0,22
9247f06a,corpus-implementation-style-review,deepseek/deepseek-v4-flash-0731,2026-09-13T16:20:52.476753+00:00,,2026-09-13T16:22:41.889227+00:00,109.4,STUCK,0.017422,,,dedup,0,22
b95aa5cd,coordinator-memory-pool-build,deepseek/deepseek-v4-flash-0731,2026-09-13T16:20:52.476713+00:00,,2026-09-13T16:24:09.876138+00:00,197.4,STUCK,0.015245,,,dedup,0,18
8434218e,corpus-implementation-style-review,deepseek/deepseek-v4-flash-0731,2026-09-13T16:34:38.116509+00:00,,2026-09-13T16:37:58.129268+00:00,200.0,STUCK,0.008862,,,dedup,0,11
36d59b9d,tensor-transpose-build,deepseek/deepseek-v4-flash-0731,2026-09-13T16:34:38.116307+00:00,,2026-09-13T16:55:02.307800+00:00,1224.2,STUCK,0.163279,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-transpose-build-36d59b9d.patch,,dedup,3,90
da98010c,tensor-transpose-build,deepseek/deepseek-v4-flash-0731,2026-09-14T21:10:33.830148+00:00,,2026-09-14T21:24:31.946506+00:00,838.1,GREEN,0.300023,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-transpose-build/da98010c/patch,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-transpose-build/da98010c,max_turns,5,60
7c6538f5,tensor-transpose-build,deepseek/deepseek-v4-flash-0731,2026-09-14T21:24:56.912954+00:00,,2026-09-14T21:31:56.233335+00:00,419.3,GREEN,0.146156,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-transpose-build/7c6538f5/patch,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-transpose-build/7c6538f5,max_turns,6,59
35f62caa,select-lazy-materialization-build-go,deepseek/deepseek-v4-flash-0731,2026-09-14T21:36:14.469749+00:00,,2026-09-14T21:39:13.550187+00:00,179.1,STUCK,0.037437,,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-go/35f62caa,dedup,0,25
d9377dad,module-routing-syntax-build-parse,deepseek/deepseek-v4-flash-0731,2026-09-14T21:36:14.470033+00:00,,2026-09-14T21:40:37.940172+00:00,263.5,GREEN,0.030973,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-syntax-build-parse/d9377dad/patch,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-syntax-build-parse/d9377dad,model_done,5,28
301d2f1d,sort-by-max-by-rust-tests,deepseek/deepseek-v4-flash-0731,2026-09-14T21:36:14.470072+00:00,,2026-09-14T21:43:10.351229+00:00,415.9,GREEN,0.003834,/home/kantord/.cache/toylang-simple-dispatch/results/sort-by-max-by-rust-tests/301d2f1d/patch,/home/kantord/.cache/toylang-simple-dispatch/results/sort-by-max-by-rust-tests/301d2f1d,model_done,1,8
90e65368,tensor-transpose-build,deepseek/deepseek-v4-flash-0731,2026-09-14T21:36:15.038770+00:00,,2026-09-14T21:45:46.185104+00:00,571.1,GREEN,0.083387,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-transpose-build/90e65368/patch,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-transpose-build/90e65368,model_done,2,36
991f9beb,module-routing-syntax-build-parse,deepseek/deepseek-v4-flash-0731,2026-09-14T22:11:19.450699+00:00,,2026-09-14T22:20:53.601656+00:00,574.2,GREEN,0.099027,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-syntax-build-parse/991f9beb/patch,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-syntax-build-parse/991f9beb,model_done,2,43
6bf3bbdf,select-lazy-materialization-build-js,deepseek/deepseek-v4-flash-0731,2026-09-14T22:10:02.310257+00:00,,2026-09-14T22:20:56.140241+00:00,653.8,STUCK,0.182613,,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-js/6bf3bbdf,dedup,0,60
80e8ef0a,select-lazy-materialization-build-py,deepseek/deepseek-v4-flash-0731,2026-09-14T22:10:02.310173+00:00,,2026-09-14T22:24:47.245013+00:00,884.9,STUCK,0.135162,,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-py/80e8ef0a,dedup,0,60
9a7e0d2f,select-lazy-materialization-build-go,deepseek/deepseek-v4-flash-0731,2026-09-14T22:10:02.310006+00:00,,2026-09-14T22:27:57.240276+00:00,1074.9,RED,0.269084,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-go/9a7e0d2f/patch,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-go/9a7e0d2f,max_turns,7,90
5e7acc2d,select-lazy-materialization-build-py,deepseek/deepseek-v4-flash-0731,2026-09-14T22:48:15.791303+00:00,,2026-09-14T23:00:02.144141+00:00,706.4,GREEN,0.100526,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-py/5e7acc2d/patch,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-py/5e7acc2d,max_turns,5,60
ec7b5d98,select-lazy-materialization-build-js,deepseek/deepseek-v4-flash-0731,2026-09-14T22:48:15.791996+00:00,,2026-09-14T23:05:47.860239+00:00,1052.1,RED,0.199782,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-js/ec7b5d98/patch,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-js/ec7b5d98,max_turns,13,90
ed033203,select-lazy-materialization-build-go,deepseek/deepseek-v4-flash-0731,2026-09-14T22:48:15.791275+00:00,,2026-09-14T23:10:25.141812+00:00,1329.4,RED,0.199556,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-go/ed033203/patch,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-go/ed033203,max_turns,9,90
41696e86,select-lazy-materialization-build-py,deepseek/deepseek-v4-flash-0731,2026-09-15T07:24:36.544023+00:00,,2026-09-15T07:48:57.952783+00:00,1461.4,GREEN,0.159956,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-py/41696e86/patch,/home/kantord/.cache/toylang-simple-dispatch/results/select-lazy-materialization-build-py/41696e86,max_turns,4,60
8e2c3941,module-routing-syntax-build-checker,deepseek/deepseek-v4-flash-0731,2026-09-15T19:41:59.493177+00:00,,2026-09-15T19:47:09.078772+00:00,309.6,GREEN,0.019024,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-syntax-build-checker/8e2c3941/patch,/home/kantord/.cache/toylang-simple-dispatch/results/module-routing-syntax-build-checker/8e2c3941,model_done,3,22
dbf48bd3,tensor-transpose-build,deepseek/deepseek-v4-flash-0731,2026-09-15T19:41:59.493239+00:00,,2026-09-15T19:52:39.054040+00:00,639.6,GREEN,0.283397,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-transpose-build/dbf48bd3/patch,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-transpose-build/dbf48bd3,max_turns,8,90
6f81318c,corpus-implementation-style-review,deepseek/deepseek-v4-flash-0731,2026-09-15T19:41:59.493268+00:00,,2026-09-15T20:02:45.107692+00:00,1245.6,GREEN,0.100570,/home/kantord/.cache/toylang-simple-dispatch/results/corpus-implementation-style-review/6f81318c/patch,/home/kantord/.cache/toylang-simple-dispatch/results/corpus-implementation-style-review/6f81318c,max_turns,4,30
d58f4682,tensor-constructor-build,deepseek/deepseek-v4-flash-0731,2026-09-15T20:36:19.668809+00:00,,2026-09-15T20:44:21.315049+00:00,481.6,RED,0.324656,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-constructor-build/d58f4682/patch,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-constructor-build/d58f4682,max_turns,5,90
c3768587,tensor-constructor-build,deepseek/deepseek-v4-flash-0731,2026-09-15T20:50:34.777924+00:00,,2026-09-15T20:58:12.828601+00:00,458.1,STUCK,0.244833,,/home/kantord/.cache/toylang-simple-dispatch/results/tensor-constructor-build/c3768587,dedup,0,60
